Date,AAPL,CVX,IBM,XOM,GS,BA,MON,TEVA,CME
2007-01-03,80.1,55.48,85.07,62.22,185.03,74.52,46.73,27.2,83.93
2007-01-04,81.88,54.94,85.98,61.06,183.3,74.82,45.92,27.53,84.54
2007-01-05,81.29,55.15,85.2,61.49,183.49,74.5,46.31,28.02,84.94
2007-01-08,81.69,55.86,86.5,61,187.8,74.32,45.7,28.61,85.84
2007-01-09,88.48,55.21,87.52,60.53,188.12,73.54,45.39,28.55,86.34
2007-01-10,92.71,54.26,86.49,59.6,191.84,74.6,45.07,28.62,88.81
2007-01-11,91.57,53.7,86.28,59.6,195.31,74.24,45.21,28.39,89.34
2007-01-12,90.44,55,86.88,61.01,197.26,73.65,46.25,28.48,92.12
2007-01-16,92.81,54.46,88.18,60.14,196.89,73.54,48.53,28.62,91.44
2007-01-17,90.75,55.36,87.48,60.84,196.56,74.23,49.02,28.61,93.4
2007-01-18,85.13,55.44,86.98,60.42,193.29,73.54,48.83,29.52,92.68
2007-01-19,84.59,56.54,84.11,61.74,194.17,74.07,49.1,29.73,92.65
2007-01-22,82.96,55.68,84.93,61.21,196.65,71.53,48.2,30.18,91.48
2007-01-23,81.91,56.72,84.91,62.54,196.34,73,49.71,30.42,93.78
2007-01-24,82.87,56.94,85.19,62.89,203.23,73.2,50.67,30.22,94.93
2007-01-25,82.44,55.91,85.28,61.73,196.74,72,49.58,29.93,92.92
2007-01-26,81.61,55.89,85.23,61.8,197.14,71.39,50.31,30.11,94.5
2007-01-29,82.14,55.92,86.18,61.46,194.86,71.45,49.89,30.24,92.42
2007-01-30,81.77,57.12,86.91,62.46,192.78,71.87,49.74,30.24,91.2
2007-01-31,81.94,56.97,86.72,62.22,195.9,74.84,49.81,30.54,90.4
2007-02-01,81,58.22,86.58,63.04,195.75,76.09,49.58,30.83,92.73
2007-02-02,81.01,57.88,86.73,63.43,197.07,75.25,50.22,30.73,92.9
2007-02-05,80.23,57.68,87.79,63.53,196.26,75.81,49.09,30.49,92.7
2007-02-06,80.43,57.36,87.33,63.36,198.2,76.03,49.37,30.35,92.93
2007-02-07,82.34,56.79,87.32,63.06,197.18,75.79,49.38,30.29,94.26
2007-02-08,82.37,57.65,87.39,63.63,197.5,75.1,49.02,30.37,93.75
2007-02-09,79.59,57.32,86.45,63.43,196.93,75.5,49.02,30.45,92
2007-02-12,81.13,56.54,86.48,62.9,194.95,74.83,48.61,30.76,90.51
2007-02-13,80.96,56.93,86.22,63.62,196.24,74.9,49.23,32.15,91.8
2007-02-14,81.53,56.84,87.02,63.75,200.74,75.45,50.4,33.03,91.96
2007-02-15,81.45,56.19,86.78,63.53,200.2,76.94,50.28,32.54,91.89
2007-02-16,81.08,55.75,86.84,63.48,200.29,76.29,50.31,32.89,92.24
2007-02-20,82.1,55.21,87.15,63.13,204.01,76.36,50.48,33.25,92.6
2007-02-21,85.26,55.07,86.92,63.05,203.28,76.31,50.88,33.44,91.04
2007-02-22,85.56,55.64,86.41,63.31,202.19,75.99,51.06,32.92,88.27
2007-02-23,85.13,55.96,85.73,63.43,199.91,75.74,50.4,32.82,87.44
2007-02-26,84.6,56.23,85.01,63.58,197.6,74.6,49.54,32.72,86.11
2007-02-27,80.22,54,82.42,60.57,180.98,73.15,47.42,30.97,82.01
2007-02-28,80.87,53.95,81.53,60.44,186.29,73.2,47.66,31.02,86.53
2007-03-01,83.21,53.23,80.94,59.86,184.36,73.7,47.35,30.36,87.5
2007-03-02,81.64,52.59,79.74,59.03,180.67,73.01,46.04,30.27,86.7
2007-03-05,82.51,52.3,80.54,59.01,175.44,73,45.93,30.29,88.97
2007-03-06,84.29,53.28,82.28,59.87,182.24,73.67,47.61,31.43,90.6
2007-03-07,83.84,53.8,82.41,60.41,180.6,74.42,47.91,31.57,90.17
2007-03-08,84.11,53.9,81.58,60.58,184.61,74.57,48.83,31.91,91.24
2007-03-09,84.08,53.91,81.83,59.97,186.24,75.09,48.85,31.89,91.29
2007-03-12,85.9,54.19,82.56,59.76,187.07,76.51,49.42,31.92,91.21
2007-03-13,84.49,53.41,81.33,58.95,183.77,75.04,47.45,31.23,88.47
2007-03-14,86.02,53.79,82.25,59.88,184.81,75.48,47.84,31.71,90.65
2007-03-15,85.61,54.23,81.98,59.61,185.49,76.37,47.71,31.64,85.65
2007-03-16,85.63,53.6,81.8,58.91,183.75,75.5,46.61,31.88,84.7
2007-03-19,87.1,54.63,82.45,59.95,186.92,75.77,48.12,31.87,85.23
2007-03-20,87.44,55.15,82.9,60.71,188.36,75.63,48.15,31.91,85.58
2007-03-21,89.72,56.17,83.65,61.75,194.78,76.17,49.73,32.55,86.87
2007-03-22,89.81,57.42,83.5,62.7,193.98,75.98,49.28,32.25,87.46
2007-03-23,89.39,58.03,83.36,63.26,195.65,76.32,49.57,32.48,86.93
2007-03-26,91.61,58.58,83.34,63.64,195.5,76.2,50.28,32.48,86.5
2007-03-27,91.24,58.4,83.1,63.84,193.78,75.94,49.23,32.11,86.38
2007-03-28,89.12,58.33,82.69,63.71,190.91,75.04,49.08,32,85.07
2007-03-29,89.61,59.01,82.96,64.29,191.32,75.3,49.61,32.14,85.37
2007-03-30,88.8,58.23,82.69,63.62,190.79,74.59,49.69,32.65,85.58
2007-04-02,89.51,58.92,83.52,64.22,189.89,74.52,49.74,32.63,87.42
2007-04-03,90.32,59.32,84.3,64.76,193.67,75.42,50.75,33.1,88.55
2007-04-04,90.1,59.49,84.4,65.02,192.79,75.73,52.37,33.13,89.54
2007-04-05,90.5,59.53,84.67,65.11,191.99,75.92,52.15,33.06,88.96
2007-04-09,89.51,59.44,84.76,64.76,192.92,75.53,52.82,32.98,88.48
2007-04-10,90.09,60.66,84.62,65.41,193.03,76.21,52.14,33.14,88.48
2007-04-11,88.5,60.28,83.48,64.73,191.07,75.48,51.82,32.8,88.48
2007-04-12,88.12,60.76,83.92,65.26,191.18,76.21,52.71,32.36,88.94
2007-04-13,86.25,60.64,83.28,65.27,190.67,76.36,52.9,32.39,88.64
2007-04-16,87.39,61.31,84.37,65.91,198.08,75.76,53.34,32.22,89.81
2007-04-17,86.36,61.38,85.2,66.11,198.43,75.88,53.25,32.46,89.72
2007-04-18,86.41,61.23,83.16,65.94,200.14,78.76,52.84,32.53,89.78
2007-04-19,86.28,60.48,82.71,65.31,202.48,78.01,52.74,32.4,89.02
2007-04-20,86.95,61.77,82.97,67.25,203.46,78.26,53.66,32.11,89.35
2007-04-23,89.38,61.07,83.52,66.78,205.7,78.55,53.46,31.54,87.98
2007-04-24,89.12,60.71,86.4,66.28,204.13,78.58,53.41,32.19,85.4
2007-04-25,91.14,61.67,89,67.39,208.64,79.43,54.45,32.9,85.3
2007-04-26,94.47,61.56,88.51,67.92,207.91,79.07,54.34,34.1,83.38
2007-04-27,95.51,61.48,88.75,67.76,207.42,78.87,54.64,34.03,83.9
2007-04-30,95.39,61.25,89.66,66.93,202.18,78.02,53.46,33.41,83.06
2007-05-01,95.08,61.69,90.5,67.17,202.15,78.21,52.32,33.97,82.39
2007-05-02,95.95,61.92,89.67,67.3,202.99,78.71,53.13,34.52,82.82
2007-05-03,95.96,62.64,90.18,68.03,204.9,78.73,53.92,34.22,83.74
2007-05-04,96.36,62.44,90.32,67.92,210.25,78.53,53.89,34.15,82.76
2007-05-07,99.33,62.66,90.49,68.16,210.14,79.33,54.11,33.93,81.64
2007-05-08,100.42,63.03,90.96,68.62,208.04,79.03,53.37,33.72,81.77
2007-05-09,102.16,62.79,91.92,68.65,209.54,79.22,53.55,33.5,81.48
2007-05-10,102.6,61.56,92.19,67.23,206.33,78.14,52.44,33.62,80.04
2007-05-11,103.94,63.02,93.33,68.79,210.4,78.65,53.06,34.93,86.2
2007-05-14,104.53,63.67,92.97,68.81,209.18,78.78,52.83,34.96,85.1
2007-05-15,102.77,63.56,92.32,68.7,207.51,79.44,55.29,34.86,84.13
2007-05-16,102.6,64.02,93.23,68.98,210.04,80.28,55.97,35.38,83.83
