Date,Open,High,Low,Close,Volume,Adj Close
10/14/08,116.26,116.4,103.14,104.08,70749800,104.08
10/13/08,104.55,110.53,101.02,110.26,54967000,110.26
10/10/08,85.7,100,85,96.8,79260700,96.8
10/9/08,93.35,95.8,86.6,88.74,57763700,88.74
10/8/08,85.91,96.33,85.68,89.79,78847900,89.79
10/7/08,100.48,101.5,88.95,89.16,67099000,89.16
10/6/08,91.96,98.78,87.54,98.14,75264900,98.14
10/3/08,104,106.5,94.65,97.07,81942800,97.07
10/2/08,108.01,108.79,100,100.1,57477300,100.1
10/1/08,111.92,112.36,107.39,109.12,46303000,109.12
9/30/08,108.25,115,106.3,113.66,58095800,113.66
9/29/08,119.62,119.68,100.59,105.26,93581400,105.26
9/26/08,124.91,129.8,123,128.24,40208700,128.24
9/25/08,129.8,134.79,128.52,131.93,35865600,131.93
9/24/08,127.27,130.95,125.15,128.71,37393400,128.71
9/23/08,131.85,135.8,126.66,126.84,45727300,126.84
9/22/08,139.94,140.25,130.66,131.05,30577300,131.05
9/19/08,142.6,144.2,136.31,140.91,51102700,140.91
9/18/08,130.57,135.43,120.68,134.09,59819300,134.09
9/17/08,138.49,138.51,127.83,127.83,42847200,127.83
9/16/08,133.86,142.5,132.15,139.88,42804800,139.88
9/15/08,142.03,147.69,140.36,140.36,32852600,140.36
9/12/08,150.91,150.91,146.5,148.94,28322400,148.94
9/11/08,148.18,152.99,146,152.65,34666800,152.65
9/10/08,152.32,154.99,148.8,151.61,34755100,151.61
9/9/08,156.86,159.96,149.79,151.68,44442500,151.68
9/8/08,164.57,164.89,151.46,157.92,37356400,157.92
9/5/08,158.59,162.4,157.65,160.18,28083800,160.18
9/4/08,165.86,167.91,160.81,161.22,26549500,161.22
9/3/08,166.84,168.68,164,166.96,26244100,166.96
9/2/08,172.4,173.5,165,166.19,27884400,166.19
8/29/08,172.96,173.5,169.04,169.53,21403200,169.53
8/28/08,175.28,176.25,172.75,173.74,15394500,173.74
8/27/08,173.31,175.76,172.19,174.67,17045900,174.67
8/26/08,172.76,174.88,172.61,173.64,15912500,173.64
8/25/08,176.15,176.23,171.66,172.55,17300900,172.55
8/22/08,175.82,177.5,175.57,176.79,15700400,176.79
8/21/08,174.47,175.45,171.89,174.29,19276600,174.29
8/20/08,174.77,176.94,173.61,175.84,18105400,175.84
8/19/08,174.54,177.07,171.81,173.53,21997000,173.53
8/18/08,175.57,177.81,173.82,175.39,19691200,175.39
8/15/08,179.04,179.75,175.05,175.74,25294700,175.74
8/14/08,178.33,180.45,177.84,179.32,25393200,179.32
8/13/08,177.98,180,175.9,179.3,30083800,179.3
8/12/08,173.52,179.29,173.51,176.73,29867100,176.73
8/11/08,170.07,176.5,169.67,173.56,31821100,173.56
8/8/08,163.86,169.65,163.75,169.55,25499900,169.55
8/7/08,162.71,166.15,161.5,163.57,24013300,163.57
8/6/08,159.97,167.4,158,164.19,28264600,164.19
8/5/08,155.42,160.8,154.82,160.64,24584700,160.64
8/4/08,156.6,157.9,152.91,153.23,21161700,153.23
8/1/08,159.9,159.99,155.75,156.66,19451400,156.66
7/31/08,157.54,162.2,156.98,158.95,22767800,158.95
7/30/08,157.78,160.49,156.08,159.88,25899400,159.88
7/29/08,155.41,159.45,153.65,157.08,24431100,157.08
7/28/08,162.34,162.47,154.02,154.4,27882600,154.4
7/25/08,160.4,163,158.65,162.12,22629900,162.12
7/24/08,164.32,165.26,158.45,159.03,29986400,159.03
7/23/08,164.99,168.37,161.56,166.26,37920300,166.26
7/22/08,149,162.76,146.53,162.02,67128300,162.02
7/21/08,166.9,167.5,161.12,166.29,48588200,166.29
7/18/08,168.52,169.65,165,165.15,31014800,165.15
7/17/08,174.1,174.98,171.39,171.81,27054500,171.81
7/16/08,170.2,172.93,168.6,172.81,26706800,172.81
7/15/08,172.48,173.74,166.39,169.64,37144400,169.64
7/14/08,179.24,179.3,173.08,173.88,31644800,173.88
7/11/08,175.47,177.11,171,172.58,33214700,172.58
7/10/08,174.92,177.34,171.37,176.63,30024600,176.63
7/9/08,180.2,180.91,174.14,174.25,31992000,174.25
7/8/08,175.4,179.7,172.74,179.55,31726800,179.55
7/7/08,173.16,177.13,171.9,175.16,29299700,175.16
7/3/08,169.59,172.17,165.75,170.12,18691500,170.12
7/2/08,175.2,177.45,168.18,168.18,29911400,168.18
7/1/08,164.23,174.72,164,174.68,39688600,174.68
6/30/08,170.19,172,166.62,167.44,24435600,167.44
6/27/08,166.51,170.57,164.15,170.09,37223200,170.09
6/26/08,174.07,174.84,168.01,168.26,31057500,168.26
6/25/08,174.61,178.83,173.88,177.39,23016100,177.39
6/24/08,172.37,175.78,171.63,173.25,22212400,173.25
6/23/08,174.74,175.88,171.56,173.16,23063600,173.16
6/20/08,179.35,181,175,175.27,31727400,175.27
6/19/08,178.55,182.34,176.8,180.9,28283900,180.9
6/18/08,181.12,182.2,177.35,178.75,28981000,178.75
6/17/08,178.1,181.99,177.41,181.43,32130600,181.43
6/16/08,171.3,177.9,169.07,176.84,37561800,176.84
6/13/08,171.64,174.16,165.31,172.37,48069900,172.37
6/12/08,181.49,182.6,171.2,173.26,46726200,173.26
6/11/08,184.34,186,179.59,180.81,34341100,180.81
6/10/08,180.51,186.78,179.02,185.64,40728600,185.64
6/9/08,184.79,184.94,175.75,181.61,67442600,181.61
6/6/08,188,189.95,185.55,185.64,34438700,185.64
6/5/08,186.34,189.84,185.7,189.43,26980200,189.43
